product_id,category,subcategory,vendor_id,mrp,cost
P00178,Footwear,Sandals,V0091,1173.47,861.69
P00179,Kids & Baby,Onesie,V0136,355.58,206.63
P00180,Kids & Baby,Toy,V0184,417.1,269.19
P00181,Beauty & Personal Care,Face Wash,V0017,181.75,144.58
P00182,Women Clothing,Saree,V0197,605.73,427.92
P00183,Electronics Accessories,Earphones,V0012,862.66,505.27
P00184,Home & Kitchen,Cookware,V0166,196.21,138.61
P00185,Men Clothing,Shirt,V0146,470.72,287.57
P00186,Beauty & Personal Care,Eyeliner,V0026,673.19,447.97
P00187,Beauty & Personal Care,Shampoo,V0037,116.66,74.07
P00188,Kids & Baby,Frock,V0070,449.69,284.27
P00189,Men Clothing,Kurta,V0169,228.54,151.08
P00190,Women Clothing,Kurti,V0079,315.5,222.36
P00191,Beauty & Personal Care,Shampoo,V0170,470.75,263.36
P00192,Footwear,Sandals,V0090,613.33,400.76
P00193,Women Clothing,Dress,V0041,804.29,501.89
P00194,Men Clothing,Jeans,V0175,515.52,410.23
P00195,Kids & Baby,Bottle,V0142,124.12,98.95
P00196,Women Clothing,Leggings,V0129,251.53,156.47
P00197,Kids & Baby,Bottle,V0017,395.21,231.53
P00198,Footwear,Heels,V0183,418.56,257.03
P00199,Home & Kitchen,Bottle,V0053,976.48,629.86
P00200,Kids & Baby,Onesie,V0118,438.6,318.45
P00201,Kids & Baby,Diaper,V0109,544.33,393.01
P00202,Men Clothing,Shirt,V0159,569.62,329.2
P00203,Footwear,Heels,V0190,602.15,362.84
P00204,Men Clothing,Track Pants,V0136,348.91,194.03
P00205,Footwear,Sports Shoes,V0158,1419.66,1107.7
P00206,Footwear,Heels,V0077,313.02,185.71
P00207,Beauty & Personal Care,Face Wash,V0080,182.7,113.33
P00208,Beauty & Personal Care,Comb,V0194,221.44,174.16
P00209,Beauty & Personal Care,Shampoo,V0045,149.5,90.14
P00210,Home & Kitchen,Cookware,V0018,217.61,173.02
P00211,Home & Kitchen,Cookware,V0099,929.65,677.86
P00212,Footwear,Heels,V0173,782.47,467.56
P00213,Electronics Accessories,Charger,V0147,526.86,348.13
P00214,Men Clothing,Track Pants,V0068,1044.04,643.32
P00215,Beauty & Personal Care,Lipstick,V0083,285.48,199.83
P00216,Men Clothing,Shirt,V0050,460.5,320.53
P00217,Kids & Baby,Onesie,V0025,331.28,185.05
P00218,Footwear,Heels,V0166,753.38,587.54
P00219,Women Clothing,Saree,V0121,521.42,328.87
P00220,Footwear,Flip Flops,V0164,332.43,233.95
P00221,Home & Kitchen,Bedsheet,V0068,870.86,555.81
P00222,Electronics Accessories,Case,V0056,550.31,434.28
P00223,Women Clothing,Dupatta,V0039,1018.58,704.64
P00224,Men Clothing,Shirt,V0063,535.08,323.83
P00225,Home & Kitchen,Storage Box,V0128,757.38,515.36
P00226,Beauty & Personal Care,Comb,V0135,411.36,233.83
P00227,Women Clothing,Kurti,V0122,762.41,576.15
P00228,Home & Kitchen,Cookware,V0186,953.78,550.02
P00229,Men Clothing,Track Pants,V0059,893.28,618.23
P00230,Footwear,Sports Shoes,V0048,1362.89,1005.56
P00231,Men Clothing,Jeans,V0133,1260.79,996.03
P00232,Women Clothing,Dress,V0036,447.25,327.09
P00233,Women Clothing,Leggings,V0088,782.58,472.4
P00234,Footwear,Sandals,V0025,493.59,281.48
P00235,Women Clothing,Kurti,V0173,1074.1,677.89
P00236,Electronics Accessories,Case,V0019,1321.21,927.59
P00237,Beauty & Personal Care,Lipstick,V0135,503.18,313.44
P00238,Home & Kitchen,Bottle,V0186,537.7,351.16
P00239,Footwear,Flip Flops,V0066,544.61,412.88
P00240,Men Clothing,T-Shirt,V0080,883.29,494.08
P00241,Men Clothing,T-Shirt,V0167,1100.91,634.68
P00242,Beauty & Personal Care,Shampoo,V0125,341.22,236.4
P00243,Women Clothing,Saree,V0146,207.42,147.93
P00244,Women Clothing,Dupatta,V0103,924.67,659.41
P00245,Men Clothing,T-Shirt,V0129,378.81,232.57
P00246,Beauty & Personal Care,Eyeliner,V0191,247.43,195.47
P00247,Men Clothing,Shirt,V0131,273.28,179.6
P00248,Women Clothing,Kurti,V0127,1157.38,859.2
P00249,Footwear,Flip Flops,V0021,1278.05,1013.59
P00250,Home & Kitchen,Bottle,V0126,478.17,300.01
P00251,Women Clothing,Dress,V0124,232.73,136.73
P00252,Footwear,Sandals,V0158,952.52,561.43
P00253,Home & Kitchen,Bedsheet,V0011,774.86,433.39
P00254,Kids & Baby,Toy,V0022,254.69,184.36
P00255,Electronics Accessories,Charger,V0111,569.38,416.89
P00256,Beauty & Personal Care,Shampoo,V0125,696.52,521.88
P00257,Footwear,Heels,V0057,677.29,525.0
P00258,Electronics Accessories,Charger,V0089,313.97,229.59
P00259,Women Clothing,Saree,V0131,224.65,133.36
P00260,Kids & Baby,Bottle,V0158,691.55,442.75
P00261,Beauty & Personal Care,Face Wash,V0128,591.3,380.81
P00262,Footwear,Flip Flops,V0045,1300.04,1028.8
P00263,Kids & Baby,Frock,V0036,360.32,248.56
P00264,Women Clothing,Dupatta,V0087,890.5,697.9
P00265,Beauty & Personal Care,Face Wash,V0118,253.05,177.84
P00266,Beauty & Personal Care,Eyeliner,V0072,293.83,177.54
P00267,Women Clothing,Dupatta,V0192,292.41,206.2
P00268,Women Clothing,Leggings,V0182,1169.29,745.83
P00269,Kids & Baby,Toy,V0068,430.6,305.96
P00270,Kids & Baby,Onesie,V0178,347.79,269.83
P00271,Footwear,Flip Flops,V0103,703.44,408.88
P00272,Beauty & Personal Care,Lipstick,V0159,185.41,143.27
P00273,Footwear,Heels,V0029,1485.01,924.02
P00274,Kids & Baby,Frock,V0187,185.16,124.16
P00275,Beauty & Personal Care,Lipstick,V0164,524.72,368.93
P00276,Footwear,Sports Shoes,V0105,1438.89,1085.56
P00277,Women Clothing,Dress,V0073,1154.87,791.57
P00278,Women Clothing,Dupatta,V0119,559.0,405.52
P00279,Men Clothing,T-Shirt,V0085,681.96,424.14
P00280,Kids & Baby,Diaper,V0195,190.36,129.82
P00281,Footwear,Casual Shoes,V0089,992.82,687.22
P00282,Men Clothing,Jeans,V0089,327.2,226.59
P00283,Men Clothing,Kurta,V0076,384.26,275.1
P00284,Electronics Accessories,Power Bank,V0139,786.73,599.64
P00285,Beauty & Personal Care,Face Wash,V0116,565.96,413.77
P00286,Home & Kitchen,Storage Box,V0139,744.63,513.88
P00287,Electronics Accessories,Earphones,V0154,326.39,233.0
P00288,Kids & Baby,Bottle,V0053,379.15,253.04
P00289,Beauty & Personal Care,Face Wash,V0142,326.41,255.34
P00290,Home & Kitchen,Bedsheet,V0064,361.03,227.14
P00291,Men Clothing,Kurta,V0138,1258.34,946.95
P00292,Home & Kitchen,Bedsheet,V0031,160.97,125.0
P00293,Women Clothing,Saree,V0036,448.31,325.69
P00294,Kids & Baby,Toy,V0010,430.84,294.78
P00295,Women Clothing,Dress,V0026,988.71,595.0
P00296,Footwear,Flip Flops,V0020,448.78,319.97
P00297,Beauty & Personal Care,Face Wash,V0125,273.35,216.9
P00298,Electronics Accessories,Power Bank,V0044,814.39,470.64
P00299,Kids & Baby,Diaper,V0062,510.49,319.84
P00300,Men Clothing,Kurta,V0079,362.45,237.66
P00301,Kids & Baby,Diaper,V0009,677.53,442.33
P00302,Beauty & Personal Care,Shampoo,V0071,307.4,203.23
P00303,Men Clothing,Kurta,V0090,212.33,123.85
P00304,Women Clothing,Dupatta,V0024,1133.64,900.69
P00305,Kids & Baby,Onesie,V0140,193.76,132.51
P00306,Electronics Accessories,Power Bank,V0060,1457.92,858.92
P00307,Electronics Accessories,Charger,V0084,482.89,377.47
P00308,Women Clothing,Dupatta,V0120,975.26,573.44
P00309,Home & Kitchen,Storage Box,V0078,483.47,272.71
P00310,Electronics Accessories,Case,V0016,790.84,588.76
P00311,Home & Kitchen,Cookware,V0029,619.88,441.27
P00312,Men Clothing,Kurta,V0160,558.5,329.71
P00313,Electronics Accessories,Case,V0119,266.4,201.22
P00314,Footwear,Heels,V0035,1045.82,635.16
P00315,Women Clothing,Leggings,V0043,659.28,494.7
P00316,Kids & Baby,Onesie,V0096,422.22,263.9
P00317,Home & Kitchen,Storage Box,V0119,376.11,227.32
P00318,Footwear,Flip Flops,V0053,1279.66,889.96
P00319,Men Clothing,Shirt,V0020,979.07,749.02
P00320,Men Clothing,Shirt,V0115,1284.55,786.62
P00321,Electronics Accessories,Earphones,V0008,476.13,316.86
P00322,Electronics Accessories,USB Cable,V0122,293.84,219.77
P00323,Footwear,Heels,V0042,1354.7,977.43
P00324,Beauty & Personal Care,Lipstick,V0077,259.8,150.89
P00325,Beauty & Personal Care,Lipstick,V0070,328.29,248.95
P00326,Electronics Accessories,Charger,V0111,684.78,382.5
P00327,Beauty & Personal Care,Comb,V0016,263.57,210.19
P00328,Women Clothing,Dupatta,V0069,943.34,731.29
P00329,Footwear,Sports Shoes,V0053,1218.58,834.64
P00330,Women Clothing,Dupatta,V0173,362.56,231.01
P00331,Beauty & Personal Care,Eyeliner,V0179,449.24,344.87
P00332,Electronics Accessories,USB Cable,V0006,585.84,339.97
P00333,Women Clothing,Leggings,V0123,813.72,483.45
P00334,Men Clothing,Shirt,V0033,870.4,536.06
P00335,Kids & Baby,Bottle,V0015,237.58,154.38
P00336,Electronics Accessories,Power Bank,V0014,991.49,680.49
P00337,Footwear,Flip Flops,V0167,555.92,429.6
P00338,Home & Kitchen,Cookware,V0063,242.4,135.71
P00339,Home & Kitchen,Curtain,V0005,661.3,384.12
P00340,Electronics Accessories,Case,V0121,881.11,694.27
P00341,Beauty & Personal Care,Comb,V0090,518.15,364.96
P00342,Women Clothing,Kurti,V0107,831.29,494.52
P00343,Women Clothing,Dupatta,V0180,674.91,429.0
P00344,Electronics Accessories,Case,V0016,1441.34,880.06
P00345,Men Clothing,Shirt,V0099,717.67,563.02
P00346,Footwear,Sports Shoes,V0166,1236.48,978.21
P00347,Beauty & Personal Care,Comb,V0053,464.0,293.92
P00348,Men Clothing,Track Pants,V0077,1108.31,690.33
P00349,Electronics Accessories,USB Cable,V0093,455.97,331.29
P00350,Electronics Accessories,Charger,V0181,1048.69,807.22
P00351,Men Clothing,Kurta,V0174,1257.12,960.81
P00352,Home & Kitchen,Bottle,V0098,200.02,143.24
P00353,Electronics Accessories,Power Bank,V0098,1230.92,979.17
P00354,Footwear,Sandals,V0143,718.33,425.59
P00355,Kids & Baby,Toy,V0059,610.76,384.39
P00356,Beauty & Personal Care,Face Wash,V0178,457.92,296.49
P00357,Men Clothing,Kurta,V0137,641.56,470.34
P00358,Home & Kitchen,Bottle,V0026,456.25,329.99
P00359,Men Clothing,Track Pants,V0003,214.76,135.55
P00360,Home & Kitchen,Curtain,V0100,420.19,309.77
P00361,Home & Kitchen,Curtain,V0047,416.37,294.93
P00362,Footwear,Casual Shoes,V0005,1110.66,793.68
P00363,Beauty & Personal Care,Lipstick,V0062,460.98,301.2
P00364,Electronics Accessories,Charger,V0084,716.63,495.3
P00365,Home & Kitchen,Cookware,V0133,203.15,156.21
P00366,Electronics Accessories,Power Bank,V0138,1281.64,815.89
P00367,Beauty & Personal Care,Eyeliner,V0080,439.09,343.83
P00368,Electronics Accessories,Power Bank,V0063,589.55,433.68
P00369,Footwear,Sports Shoes,V0025,353.41,240.62
P00370,Footwear,Sports Shoes,V0044,1354.96,932.11
P00371,Women Clothing,Leggings,V0153,876.88,681.26
P00372,Footwear,Heels,V0158,1144.2,828.36
P00373,Home & Kitchen,Bedsheet,V0014,647.43,458.54
P00374,Beauty & Personal Care,Eyeliner,V0086,581.22,461.96
P00375,Footwear,Flip Flops,V0171,1244.16,904.36
P00376,Men Clothing,Track Pants,V0156,348.1,262.56
P00377,Beauty & Personal Care,Eyeliner,V0019,540.6,401.45
P00378,Home & Kitchen,Curtain,V0102,345.43,268.01
P00379,Beauty & Personal Care,Shampoo,V0170,157.37,96.53
P00380,Footwear,Sports Shoes,V0020,1078.78,775.03
P00381,Men Clothing,Shirt,V0079,543.66,394.36
P00382,Women Clothing,Kurti,V0139,625.72,344.18
P00383,Home & Kitchen,Cookware,V0182,287.22,221.34
P00384,Kids & Baby,Frock,V0098,232.62,134.51
P00385,Home & Kitchen,Curtain,V0121,728.87,481.18
P00386,Beauty & Personal Care,Lipstick,V0152,576.95,441.58
P00387,Kids & Baby,Onesie,V0198,606.59,381.09
P00388,Kids & Baby,Frock,V0017,402.33,286.67
P00389,Electronics Accessories,USB Cable,V0156,652.48,365.57
P00390,Kids & Baby,Diaper,V0050,396.4,219.29
P00391,Electronics Accessories,Charger,V0183,1438.31,1077.54
P00392,Kids & Baby,Onesie,V0010,214.21,133.21
P00393,Men Clothing,T-Shirt,V0149,1280.12,823.61
P00394,Women Clothing,Dress,V0058,1061.09,702.13
P00395,Women Clothing,Dress,V0162,1149.51,834.47
P00396,Kids & Baby,Diaper,V0095,112.75,70.31
P00397,Beauty & Personal Care,Face Wash,V0107,433.8,339.03
P00398,Beauty & Personal Care,Comb,V0171,160.22,112.2
P00399,Electronics Accessories,Case,V0139,627.72,484.81
P00400,Footwear,Sports Shoes,V0033,1206.46,775.06
P00401,Women Clothing,Kurti,V0186,382.81,211.65
P00402,Footwear,Flip Flops,V0046,1026.42,668.74
P00403,Women Clothing,Leggings,V0189,545.23,434.21
P00404,Footwear,Flip Flops,V0190,832.68,614.07
P00405,Footwear,Sandals,V0129,471.77,261.06
P00406,Women Clothing,Dupatta,V0149,658.32,471.63
P00407,Men Clothing,Shirt,V0062,756.26,584.3
P00408,Men Clothing,Shirt,V0192,676.38,424.6
P00409,Beauty & Personal Care,Lipstick,V0087,648.63,422.71
P00410,Footwear,Sports Shoes,V0073,587.06,337.22
P00411,Footwear,Sandals,V0184,1241.64,939.02
P00412,Footwear,Casual Shoes,V0001,291.62,186.54
P00413,Footwear,Flip Flops,V0021,1187.35,933.96
P00414,Footwear,Sports Shoes,V0022,722.27,554.72
P00415,Electronics Accessories,USB Cable,V0182,742.15,441.49
P00416,Home & Kitchen,Cookware,V0004,151.93,96.1
P00417,Footwear,Heels,V0065,723.09,568.55
P00418,Electronics Accessories,Case,V0179,507.59,327.68
P00419,Men Clothing,Jeans,V0063,226.67,167.94
P00420,Footwear,Heels,V0143,1393.93,849.54
P00421,Men Clothing,T-Shirt,V0036,670.89,389.47
P00422,Beauty & Personal Care,Eyeliner,V0029,373.1,217.64
P00423,Home & Kitchen,Storage Box,V0180,593.85,435.68
P00424,Women Clothing,Saree,V0174,807.68,493.74
P00425,Home & Kitchen,Cookware,V0069,449.73,319.15
P00426,Footwear,Flip Flops,V0157,987.19,576.71
P00427,Footwear,Heels,V0111,1306.19,873.57
P00428,Home & Kitchen,Storage Box,V0175,287.01,166.67
P00429,Home & Kitchen,Curtain,V0153,969.72,601.6
P00430,Beauty & Personal Care,Eyeliner,V0144,644.16,420.41
P00431,Kids & Baby,Toy,V0100,330.55,239.73
P00432,Men Clothing,Track Pants,V0041,209.87,133.17
P00433,Women Clothing,Dupatta,V0193,531.91,407.99
P00434,Kids & Baby,Diaper,V0197,416.47,267.02
P00435,Home & Kitchen,Bedsheet,V0148,375.17,261.73
P00436,Women Clothing,Kurti,V0197,365.84,223.73
P00437,Home & Kitchen,Curtain,V0164,398.57,279.79
P00438,Men Clothing,Jeans,V0186,609.58,412.35
P00439,Women Clothing,Kurti,V0048,914.48,721.59
P00440,Kids & Baby,Bottle,V0130,557.9,363.37
P00441,Electronics Accessories,Power Bank,V0157,1185.34,933.37
P00442,Men Clothing,Track Pants,V0144,748.32,488.37
P00443,Kids & Baby,Bottle,V0163,145.81,112.73
P00444,Women Clothing,Saree,V0111,470.08,266.06
P00445,Home & Kitchen,Curtain,V0062,605.62,461.17
P00446,Kids & Baby,Toy,V0107,342.98,255.78
P00447,Home & Kitchen,Storage Box,V0106,859.94,570.65
P00448,Men Clothing,T-Shirt,V0132,849.05,580.31
P00449,Men Clothing,T-Shirt,V0113,1232.12,901.14
P00450,Kids & Baby,Toy,V0068,654.21,395.8
P00451,Home & Kitchen,Bedsheet,V0179,412.7,234.3
P00452,Women Clothing,Dupatta,V0089,748.9,575.51
P00453,Kids & Baby,Bottle,V0161,295.11,171.77
P00454,Electronics Accessories,Power Bank,V0078,335.56,222.1
P00455,Beauty & Personal Care,Eyeliner,V0152,197.41,125.66
P00456,Men Clothing,Kurta,V0075,1100.98,711.24
P00457,Home & Kitchen,Bottle,V0025,667.39,450.85
P00458,Women Clothing,Dress,V0156,989.39,582.79
P00459,Men Clothing,Track Pants,V0007,1211.49,861.25
P00460,Women Clothing,Dress,V0113,497.05,288.69
P00461,Men Clothing,Jeans,V0036,363.7,271.2
P00462,Home & Kitchen,Bedsheet,V0010,648.89,418.66
P00463,Women Clothing,Saree,V0113,565.19,431.77
P00464,Home & Kitchen,Bottle,V0036,892.55,620.6
P00465,Women Clothing,Dress,V0018,776.0,585.19
P00466,Men Clothing,Kurta,V0134,1023.27,665.21
P00467,Beauty & Personal Care,Comb,V0135,148.64,110.31
P00468,Beauty & Personal Care,Eyeliner,V0102,200.22,110.94
P00469,Kids & Baby,Toy,V0140,604.98,420.2
P00470,Electronics Accessories,Case,V0169,1364.58,915.84
P00471,Electronics Accessories,Case,V0191,1408.1,899.06
P00472,Kids & Baby,Toy,V0025,533.71,333.7
P00473,Kids & Baby,Toy,V0181,99.7,64.3
